PERNO,GRADE,DEPT_CD,DPAY,DA,PAY_ADJMT,DA_ADJMT,PP,APAY,INCENTIVE,HRA,FUEL_SUB,ATS,CPF_PC,VPF,ITAX,CESS,CESS_ADDL,PTAX,CCA,SESBF,CANTEEN,RENT,ELEC,CONS,CPF_PR,CPF_IR,CPF_CC,EPS,GPAY,DEDN,NPAY,
710752,E6,50,61290,89912,0,0,0,0,0,0,0,0,18144,25000,31397,1257,0,0,0,3024,0,0,0,0,0,10000,16894,1250,174095,89562,84533,
711074,E6,10,56410,82753,0,0,0,0,0,0,0,0,16700,0,24435,977,0,0,0,2783,0,0,0,0,0,0,15450,1250,159812,42437,117375,
711209,E5,10,48640,71355,0,0,0,0,0,0,0,0,14399,0,18366,736,0,0,0,2400,0,195,570,2,8000,0,13149,1250,137219,42682,94537,
711214,E7,81,72460,106299,0,0,0,0,0,0,0,0,21451,10000,35648,1427,0,0,0,3575,0,0,0,0,12500,0,20201,1250,205341,88697,116644,
711242,E2,10,30880,45301,0,0,0,0,0,0,0,90,9142,5000,7705,308,0,0,0,1524,0,143,475,1,0,0,7892,1250,87132,22420,64712,
711256,E4,83,38160,55981,0,0,0,0,0,0,0,0,11297,0,13062,522,0,0,0,1883,0,160,608,1,0,0,10047,1250,107081,27137,79944,
711261,E2,10,30880,45301,0,0,0,0,0,0,0,180,9142,4500,6703,268,0,0,0,1524,0,0,0,0,0,0,7892,1250,87222,20435,66787,
711312,E2,51,29980,43981,0,0,0,0,0,0,0,0,8875,2000,7195,288,0,0,0,1479,0,143,475,1,0,0,7625,1250,90449,17228,73221,
711326,E6,10,56340,82651,0,0,0,0,0,0,0,0,16679,0,29775,1192,0,0,0,2780,0,208,608,1,20000,0,15429,1250,159757,72356,87401,
711347,E7,82,77450,113619,0,0,0,0,0,0,0,0,22928,10000,44243,1770,0,0,0,3821,0,338,665,2,0,0,22928,0,219847,83906,135941,
711352,E2,81,29980,43981,0,0,0,0,0,0,0,0,8875,0,5321,214,0,0,0,1479,0,143,475,0,7000,0,7625,1250,83853,21575,62278,
711368,E2,10,29980,43981,0,0,0,0,0,0,0,0,8875,0,6828,273,0,0,0,1479,0,143,475,1,0,0,7625,1250,83253,16623,66630,
711373,E2,60,29980,43981,0,0,0,0,0,0,0,135,8875,0,7549,303,0,0,0,1479,0,143,456,1,7000,0,7625,1250,84588,24289,60299,
711389,E2,44,29980,43981,0,0,0,0,0,0,0,0,8875,0,7285,291,0,0,0,1479,0,143,475,1,0,0,7625,1250,83253,16598,66655,
711401,E2,83,29980,43981,0,0,0,0,0,0,0,0,8875,5000,6296,252,0,0,0,1479,0,0,0,0,0,0,7625,1250,85153,19945,65208,
711417,E3,60,35960,52753,0,0,0,0,0,0,0,0,10646,0,9611,386,0,0,0,1774,0,0,0,0,0,0,9396,1250,101705,21009,80696,
711422,E1,81,27220,39932,0,0,0,0,0,0,0,0,8058,0,5998,241,0,0,0,1343,0,195,475,1,6000,0,6808,1250,76068,21430,54638,
